start	end	text
0	3000	This is the Micro Machine Man, presenting the most midget miniature motorcade of Micro Machines.
3000	6500	Each one has dramatic details, terrific trim and precision paint jobs, plus incredible Micro Machine pocket playsets.
6500	8500	There's a police station, fire station, restaurant, service station, and more.
8500	10000	Perfect pocket portables to take any place.
10000	15000	And there are many miniature playsets to play with, and each one comes with its own special edition Micro Machine vehicle and fun, fantastic features that miraculously move.
15000	19000	Raise the boat lift at the airport marina, man the gun turret at the army base, clean your car at the car wash, raise the toll bridge.
19000	21000	And these playsets fit together to form a Micro Machine world.
21000	25000	Micro Machine pocket playsets, so tremendously tiny, so perfectly precise, so dazzlingly detailed, you all want to pocket them all.
25000	27500	Micro Machines are Micro Machine pocket playsets, sold separately from Galoob.
27500	30000	The smaller they are, the better they are.
